,question,course,document
113,Can I complete the course using PostgreSQL and Docker installed on my local machine?,data-engineering-zoomcamp,251218fc
114,Are there any restrictions on the platforms we can use for the course?,data-engineering-zoomcamp,251218fc
115,Do I need both GitHub Codespaces and GCP for this course?,data-engineering-zoomcamp,3c0114ce
116,Which environment should I choose for my end project in the course?,data-engineering-zoomcamp,3c0114ce
117,Is BigQuery part of GCP used in the course?,data-engineering-zoomcamp,3c0114ce
118,Is it possible to set up a local environment for this course?,data-engineering-zoomcamp,3c0114ce
119,Is learning GCP a better option for this course?,data-engineering-zoomcamp,3c0114ce
120,How can I open the Run command window to connect to a GCP VM using VSCode on a Windows machine?,data-engineering-zoomcamp,f43f5fe7
121,Where are the registry values located that need to be changed for connecting to a GCP VM using VSCode on a Windows machine?,data-engineering-zoomcamp,f43f5fe7
122,What steps should I follow to change the 'Autorun' registry value to connect to a GCP VM using VSCode on a Windows machine?,data-engineering-zoomcamp,f43f5fe7
123,Is there an alternative solution to changing the registry values to connect to a GCP VM using VSCode on a Windows machine?,data-engineering-zoomcamp,f43f5fe7
124,Where is the known_hosts file located in Windows if I need to delete the fingerprint to connect to a GCP VM using VSCode?,data-engineering-zoomcamp,f43f5fe7
125,Why is GCP chosen as the primary cloud provider for this course?,data-engineering-zoomcamp,d061525d
126,Can I use AWS instead of GCP for this course?,data-engineering-zoomcamp,d061525d
127,Does GCP offer any free trial or credits for new users?,data-engineering-zoomcamp,d061525d
128,Do I need a credit card to sign up for a free GCP account?,data-engineering-zoomcamp,d061525d
129,Is BigQuery exclusive to GCP?,data-engineering-zoomcamp,d061525d
130,What are the payment options for cloud services during the course?,data-engineering-zoomcamp,1cd01b2c
131,Is there a way to use GCP without incurring costs?,data-engineering-zoomcamp,1cd01b2c
132,Do I need to budget for cloud services for this course?,data-engineering-zoomcamp,1cd01b2c
133,Can I use Google Cloud Platform for free in this course?,data-engineering-zoomcamp,1cd01b2c
134,Are cloud service fees something I should be concerned about?,data-engineering-zoomcamp,1cd01b2c
135,Are there guidelines for setting up a home lab?,data-engineering-zoomcamp,e4a7c3b0
136,Can I complete the course without using the cloud?,data-engineering-zoomcamp,e4a7c3b0
137,Is there a local alternative for everything in the course?,data-engineering-zoomcamp,e4a7c3b0
138,Do I need GCP to run BigQuery only?,data-engineering-zoomcamp,e4a7c3b0
139,Can the entire course be done locally?,data-engineering-zoomcamp,e4a7c3b0
140,Can I use AWS for this course instead of GCP?,data-engineering-zoomcamp,7cd1912e
141,What should I adapt if I use AWS for the course?,data-engineering-zoomcamp,7cd1912e
142,Will my capstone project be graded if I use AWS?,data-engineering-zoomcamp,7cd1912e
143,What kind of help can I expect if I decide to use AWS?,data-engineering-zoomcamp,7cd1912e
144,Where can I find information on using tools other than the ones specified?,data-engineering-zoomcamp,7cd1912e
145,What are 'Office Hour' live zoom calls?,data-engineering-zoomcamp,52393fb3
146,Will there be additional live calls during the Capstone period?,data-engineering-zoomcamp,52393fb3
147,How will we be informed about additional calls?,data-engineering-zoomcamp,52393fb3
148,Are Capstone period calls announced in advance?,data-engineering-zoomcamp,52393fb3
149,Do Capstone calls help clear questions?,data-engineering-zoomcamp,52393fb3
150,questions,data-engineering-zoomcamp,10515af5
151,Has the 2022 repository been removed?,data-engineering-zoomcamp,cdb86a97
152,Where did the 2022 material go?,data-engineering-zoomcamp,cdb86a97
153,Is the 2022 content still available?,data-engineering-zoomcamp,cdb86a97
154,Did you delete the 2022 repository?,data-engineering-zoomcamp,cdb86a97
155,Where can I find the 2022 resources now?,data-engineering-zoomcamp,cdb86a97
156,Can I choose any tool for my final project?,data-engineering-zoomcamp,3e0114ad
157,Is it acceptable to use Airflow for the final project?,data-engineering-zoomcamp,3e0114ad
158,Are there any restrictions on tools for the project?,data-engineering-zoomcamp,3e0114ad
159,May I use alternatives to the recommended tools for my project?,data-engineering-zoomcamp,3e0114ad
160,Can I substitute Airflow for the suggested tools in the final project?,data-engineering-zoomcamp,3e0114ad
161,Can I use Airflow instead of Mage for this course?,data-engineering-zoomcamp,b2799574
162,Is it okay to use AWS products instead of GCP tools?,data-engineering-zoomcamp,b2799574
163,Can I substitute Tableau for Metabase in this course?,data-engineering-zoomcamp,b2799574
164,What alternatives are allowed for the local installation?,data-engineering-zoomcamp,b2799574
165,Will the course instructors support me if I choose a different tech stack?,data-engineering-zoomcamp,b2799574
166,What should we do to contribute to the course?,data-engineering-zoomcamp,2f19301f
167,How can we share the course with friends?,data-engineering-zoomcamp,2f19301f
168,What action should we take on the repo for contributing?,data-engineering-zoomcamp,2f19301f
169,Can we create a PR to improve the course material?,data-engineering-zoomcamp,2f19301f
170,What is the best way to support the course if we find it useful?,data-engineering-zoomcamp,2f19301f
171,Does the course work well with Linux?,data-engineering-zoomcamp,7c700adb
172,Can I use Windows for this course?,data-engineering-zoomcamp,7c700adb
173,Is macOS compatible with the course material?,data-engineering-zoomcamp,7c700adb
174,Have students used different operating systems in the past?,data-engineering-zoomcamp,7c700adb
175,Which operating system is considered ideal for this course?,data-engineering-zoomcamp,7c700adb
176,Is it necessary to set up the WSL environment from the beginning for Windows users?,data-engineering-zoomcamp,44b14808
177,Why might Windows users not be able to continue later modules without WSL?,data-engineering-zoomcamp,44b14808
178,Are there any alternative solutions for running shell scripts on Windows if I don't use WSL?,data-engineering-zoomcamp,44b14808
179,What challenges could Windows users face in the module-05 & RisingWave workshop?,data-engineering-zoomcamp,44b14808
180,Has there been any discussion or solutions provided in old Slack messages regarding shell scripts on Windows?,data-engineering-zoomcamp,44b14808
181,Are there any extra resources or books you suggest for the course?,data-engineering-zoomcamp,76e4baf6
182,Can you recommend any additional books for this course?,data-engineering-zoomcamp,76e4baf6
183,Do you have any suggestions for further reading materials?,data-engineering-zoomcamp,76e4baf6
184,Is there a list of recommended resources for the course?,data-engineering-zoomcamp,76e4baf6
185,Where can I find extra learning materials for this course?,data-engineering-zoomcamp,76e4baf6
186,What are Project Attempt #1 and Project Attempt #2?,data-engineering-zoomcamp,48b533a8
187,Can I resubmit my project if I fail the first attempt?,data-engineering-zoomcamp,48b533a8
188,What happens if I miss the first project deadline?,data-engineering-zoomcamp,48b533a8
189,How many chances do I get to submit my project?,data-engineering-zoomcamp,48b533a8
190,Is there a second deadline for project submission?,data-engineering-zoomcamp,48b533a8
191,What is the first step to troubleshoot an issue on my own?,data-engineering-zoomcamp,954044d1
192,How can I find specific information in documentation or online resources when I encounter an error?,data-engineering-zoomcamp,954044d1
193,What should my Slack question include if I need further assistance after trying to solve an issue?,data-engineering-zoomcamp,954044d1
194,Why should I avoid using screenshots when asking questions about errors?,data-engineering-zoomcamp,954044d1
195,What should I do if I can't resolve a technical issue immediately after taking a break?,data-engineering-zoomcamp,954044d1
196,When should I ask a question if the troubleshooting guide does not help?,data-engineering-zoomcamp,a820b9b3
197,What details should I include about my OS when asking a question?,data-engineering-zoomcamp,a820b9b3
198,Which information about the command I ran should be provided when asking a question?,data-engineering-zoomcamp,a820b9b3
199,Why is it important to mention what I have already tried?,data-engineering-zoomcamp,a820b9b3
200,What should I check if my error log has a line number for the 'offending' code?,data-engineering-zoomcamp,a820b9b3
201,How do I initially set up Git / GitHub for this course?,data-engineering-zoomcamp,f2945cd2
202,Where can I find a tutorial for setting up my own Git repository for notes?,data-engineering-zoomcamp,f2945cd2
203,What types of files should I avoid saving in a Git repository?,data-engineering-zoomcamp,f2945cd2
204,"What should I never store in a Git repository, even if it's private?",data-engineering-zoomcamp,f2945cd2
205,What's a good resource for common Git issues?,data-engineering-zoomcamp,f2945cd2
206,What can I do about the 'missing separator' error in VS Code?,data-engineering-zoomcamp,eb9d376f
207,How should I format the tabs in a Makefile to avoid errors?,data-engineering-zoomcamp,eb9d376f
208,Why does my Makefile show '*** missing separator. Stop.'?,data-engineering-zoomcamp,eb9d376f
209,What's the solution for missing separator error in a Makefile?,data-engineering-zoomcamp,eb9d376f
210,How do I fix tab-related issues in VS Code when working with Makefiles?,data-engineering-zoomcamp,eb9d376f
211,How can I open HTML files with a Windows browser from Linux on WSL?,data-engineering-zoomcamp,72f25f6d
212,What command do I use to open a page with wslview?,data-engineering-zoomcamp,72f25f6d
213,How can I customize which browser wslview uses?,data-engineering-zoomcamp,72f25f6d
214,What environment variable do I set to change the browser used by wslview?,data-engineering-zoomcamp,72f25f6d
215,Which WSL version allows opening HTML files with Windows browsers?,data-engineering-zoomcamp,72f25f6d
216,How do I set up Chrome Remote Desktop on a Compute Engine Debian Linux VM?,data-engineering-zoomcamp,a1e59afc
217,What is the purpose of using Chrome Remote Desktop on a Debian Linux VM in Compute Engine?,data-engineering-zoomcamp,a1e59afc
218,What should I do if I encounter an ERROR 403: Forbidden while downloading 2021 Yellow Taxi data from the TLC website?,data-engineering-zoomcamp,a1e59afc
219,Where can I find the backup of the 2021 Yellow Taxi Trip Records if the original link doesn't work?,data-engineering-zoomcamp,a1e59afc
220,How should I unzip the downloaded 'yellow_tripdata_2021-01.csv.gz' file?,data-engineering-zoomcamp,a1e59afc
221,How do I correctly store taxi data files now that they are available as *.csv.gz?,data-engineering-zoomcamp,71c10610
222,Why won't the data file store correctly if the file extension is csv.gz instead of csv?,data-engineering-zoomcamp,71c10610
223,What is one alternative to replacing csv_name = 'output.csv' in the video?,data-engineering-zoomcamp,71c10610
224,How can I parse the file name from the URL for yellow taxi data?,data-engineering-zoomcamp,71c10610
225,Can the pandas read_csv function read csv.gz files directly without issues?,data-engineering-zoomcamp,71c10610
226,Where can I find the data dictionary for Yellow Taxi trips?,data-engineering-zoomcamp,17a5aea1
227,Where is the data dictionary for Green Taxi trips?,data-engineering-zoomcamp,17a5aea1
228,Can you provide the URL for the Yellow Taxi trip data dictionary?,data-engineering-zoomcamp,17a5aea1
229,What is the link to the Green Taxi trip data dictionary?,data-engineering-zoomcamp,17a5aea1
230,Where do I find information about NY Yellow Trip records?,data-engineering-zoomcamp,17a5aea1
231,How do I unzip a downloaded parquet file in the command line as shown in Module 1?,data-engineering-zoomcamp,5a275db7
232,What is the command line instruction to unzip the green_tripdata_2019-09.csv.gz file?,data-engineering-zoomcamp,5a275db7
233,"Can I import unzipped csv files using pandas, and if so, how?",data-engineering-zoomcamp,5a275db7
234,How do I modify ingest_data.py to work directly with parquet files?,data-engineering-zoomcamp,5a275db7
235,What is the correct way to convert a downloaded .parquet file to a .csv file in a Python script?,data-engineering-zoomcamp,5a275db7
236,questions,data-engineering-zoomcamp,7ec0f9b0
237,How can I resolve wget certificate verification error in MacOS while using a Jupyter Notebook or CLI?,data-engineering-zoomcamp,bb1ba786
238,What should I add before wget if I'm running a command in a Jupyter Notebook?,data-engineering-zoomcamp,bb1ba786
239,How can I use the Python library wget installed with pip to verify a website certificate?,data-engineering-zoomcamp,bb1ba786
240,What is the command to use wget without checking the certificate?,data-engineering-zoomcamp,bb1ba786
241,What are the two methods to resolve wget certificate issues in the CLI environment?,data-engineering-zoomcamp,bb1ba786
242,How do I use the backslash as an escape character in Git Bash for Windows?,data-engineering-zoomcamp,2f83dbe7
243,What should I type in the terminal to set the backslash as an escape character in Git Bash for Windows?,data-engineering-zoomcamp,2f83dbe7
244,What command allows the backslash to act as an escape character in Git Bash for Windows?,data-engineering-zoomcamp,2f83dbe7
245,"In Git Bash for Windows, how can I configure the backslash to be an escape character?",data-engineering-zoomcamp,2f83dbe7
246,Is it necessary to include the backslash as an escape character in .bashrc for Git Bash on Windows?,data-engineering-zoomcamp,2f83dbe7
247,How do I store secrets in GitHub Codespaces?,data-engineering-zoomcamp,543ff080
248,Where can I find instructions on managing Codespaces secrets?,data-engineering-zoomcamp,543ff080
249,What document provides information on handling GitHub Codespaces secrets?,data-engineering-zoomcamp,543ff080
250,How are account-specific secrets managed for GitHub Codespaces?,data-engineering-zoomcamp,543ff080
251,Is there a guide for storing secrets in GitHub Codespaces?,data-engineering-zoomcamp,543ff080
252,How can I connect to the Docker daemon if I see an error with unix:///var/run/docker.sock?,data-engineering-zoomcamp,d407d65b
253,What should I check if I cannot start the Docker daemon?,data-engineering-zoomcamp,d407d65b
254,Is there a PowerShell command necessary for updating any settings related to Docker?,data-engineering-zoomcamp,d407d65b
255,What can ensure the Docker daemon is running when seeing connection issues?,data-engineering-zoomcamp,d407d65b
256,How do I update the WSL in PowerShell for Docker to work properly?,data-engineering-zoomcamp,d407d65b
257,What should Windows 10 Pro users do to enable Docker's Hyper-V backend?,data-engineering-zoomcamp,c9375c56
258,Can Windows 10 Home users enable Hyper-V for Docker?,data-engineering-zoomcamp,c9375c56
259,Where can Windows 10 Pro users find a tutorial to enable Hyper-V?,data-engineering-zoomcamp,c9375c56
260,What must Windows 10 Home users use to run Docker if Hyper-V is unavailable?,data-engineering-zoomcamp,c9375c56
261,What should you do if you encounter WslRegisterDistribution error 0x800701bc while installing WSL2?,data-engineering-zoomcamp,c9375c56
262,What happens when you perform a 'docker pull' command in Docker?,data-engineering-zoomcamp,e866156b
263,Do I need to perform a docker login to fetch Docker images for this course?,data-engineering-zoomcamp,e866156b
264,What should I do if I get a 'requested access to the resource is denied' message after running 'docker pull'?,data-engineering-zoomcamp,e866156b
265,Why do I encounter a 'permission denied' error when creating a PostgreSQL Docker container with a mounted volume on macOS M1?,data-engineering-zoomcamp,e866156b
266,How can I solve the 'permission denied' error when trying to create a PostgreSQL Docker container on macOS M1?,data-engineering-zoomcamp,e866156b
267,What should I do if I can't delete a local folder mounted to a Docker volume?,data-engineering-zoomcamp,16370470
268,How can I delete a folder created by a PostgreSQL Docker container?,data-engineering-zoomcamp,16370470
269,Why can't I simply drag a Docker-created folder to trash?,data-engineering-zoomcamp,16370470
270,What does the command 'sudo rm -r -f docker_test/' do?,data-engineering-zoomcamp,16370470
271,What does '-r' and '-f' specify when using the 'rm' command in Unix?,data-engineering-zoomcamp,16370470
272,How can I resolve Docker being stuck on settings or not starting on Windows 10 / 11?,data-engineering-zoomcamp,316df755
273,What should I do if Docker is stuck on starting on my Windows computer?,data-engineering-zoomcamp,316df755
274,Can Docker run using Hyper-V on the Pro Edition of Windows 10 / 11?,data-engineering-zoomcamp,316df755
275,How do I switch Docker containers from Windows to Linux or vice versa?,data-engineering-zoomcamp,316df755
276,What should I do if the Docker menu's upgrade option doesn't work?,data-engineering-zoomcamp,316df755
277,"Where should I run Docker commands, from the Windows file system or WSL file system?",data-engineering-zoomcamp,f3aa9252
278,Can I run Docker on Windows 10 Home Edition?,data-engineering-zoomcamp,f3aa9252
279,What should I do if Docker stays stuck after setting up WSL2 or Hyper-V?,data-engineering-zoomcamp,f3aa9252
280,Is following a tutorial necessary to make Docker work on Windows Home Edition?,data-engineering-zoomcamp,f3aa9252
281,What are the troubleshooting steps if Docker doesn't work after setup?,data-engineering-zoomcamp,f3aa9252
282,Why should I store all code in my default Linux distro for Docker?,data-engineering-zoomcamp,a4abe7a5
283,What backend does Docker use by default on Windows 10 Home and Windows 11 Home?,data-engineering-zoomcamp,a4abe7a5
284,Where can I find more information on best practices for Docker?,data-engineering-zoomcamp,a4abe7a5
285,What is the benefit of storing code in the default Linux distro when using Docker?,data-engineering-zoomcamp,a4abe7a5
286,For which Windows versions is Docker running on the WSL2 backend by default?,data-engineering-zoomcamp,a4abe7a5
287,What should I do if my Docker run command gives an error that the input device is not a TTY?,data-engineering-zoomcamp,fb930700
288,How can I fix the issue with Docker on Windows when using mintty?,data-engineering-zoomcamp,fb930700
289,Is there a way to always include winpty in my Docker commands?,data-engineering-zoomcamp,fb930700
290,What is the solution for Docker's TTY error on Windows?,data-engineering-zoomcamp,fb930700
291,How can I create an alias to use winpty with Docker commands?,data-engineering-zoomcamp,fb930700
292,How can I fix the issue where I cannot pip install on a Docker container in Windows?,data-engineering-zoomcamp,aa187680
293,What error message might I see if pip install fails in a Docker container on Windows?,data-engineering-zoomcamp,aa187680
294,What is a possible command to resolve pip install issues on Docker for Windows?,data-engineering-zoomcamp,aa187680
295,What does the error 'Temporary failure in name resolution' indicate in a Docker container?,data-engineering-zoomcamp,aa187680
296,Why might docker run with --dns=8.8.8.8 help with pip install issues?,data-engineering-zoomcamp,aa187680
297,Why is the ny_taxi_postgres_data folder empty even after running the Docker script?,data-engineering-zoomcamp,b000e899
298,What should I do if the ny_taxi_postgres_data folder remains empty in VS Code on Windows?,data-engineering-zoomcamp,b000e899
299,How can I make sure files are visible in the VS Code ny_taxi folder for the Docker setup?,data-engineering-zoomcamp,b000e899
300,Which command should I use to ensure the ny_taxi_postgres_data folder is populated in Windows?,data-engineering-zoomcamp,b000e899
301,How do I set the absolute path in the -v parameter for Docker on Windows to solve folder visibility issues?,data-engineering-zoomcamp,b000e899
302,question1,data-engineering-zoomcamp,9c66759f
303,question2,data-engineering-zoomcamp,9c66759f
304,question3,data-engineering-zoomcamp,9c66759f
305,question4,data-engineering-zoomcamp,9c66759f
306,question5,data-engineering-zoomcamp,9c66759f
307,How can I resolve the error of changing permissions for /var/lib/postgresql/data when using Docker?,data-engineering-zoomcamp,e3106e07
308,What is an alternative way to map a local directory to the PostgreSQL data directory in Docker?,data-engineering-zoomcamp,e3106e07
309,How do I verify if the Docker volume dtc_postgres_volume_local has been created?,data-engineering-zoomcamp,e3106e07
310,"What does the error 'directory ""/var/lib/postgresql/data"" exists but is not empty' mean and how can I resolve it?",data-engineering-zoomcamp,e3106e07
311,What specific environment variables need to be set when running PostgreSQL in Docker?,data-engineering-zoomcamp,e3106e07
312,What should I do if the way volume mapping is done in the course video doesn't work for me on Windows?,data-engineering-zoomcamp,72229da5
313,How can I adjust the volume mapping command on Windows if it automatically creates a folder called 'ny_taxi_postgres_data;C'?,data-engineering-zoomcamp,72229da5
314,What are some alternatives to the '-v' option for mounting volumes with Docker on Windows?,data-engineering-zoomcamp,72229da5
315,Is there a specific way to place quotes when using the '$(pwd)' command for volume mapping on Windows?,data-engineering-zoomcamp,72229da5
316,What command should I use on a Mac for Docker volume mapping?,data-engineering-zoomcamp,72229da5
317,How can I resolve the Docker error 'invalid mode: \Program Files\Git\var\lib\postgresql\data'?,data-engineering-zoomcamp,58c9f99f
318,What should I do if I encounter an invalid mode error in Docker on Windows?,data-engineering-zoomcamp,58c9f99f
319,What is the correct mounting path to use in Docker for PostgreSQL data on Windows?,data-engineering-zoomcamp,58c9f99f
320,Can you provide an example of a correct Docker mounting path for PostgreSQL data?,data-engineering-zoomcamp,58c9f99f
321,How do I correct the mounting path error in Docker for \Program Files\Git\var\lib\postgresql\data'?,data-engineering-zoomcamp,58c9f99f
322,How do I fix the Docker build mount error that occurs during the second run?,data-engineering-zoomcamp,bc42139a
323,Why should I avoid mounting the path on the second run when using Docker?,data-engineering-zoomcamp,bc42139a
324,What command should I use for the second run to avoid the Docker error without mounting?,data-engineering-zoomcamp,bc42139a
325,What environment variables are needed for the Docker POSTGRES container?,data-engineering-zoomcamp,bc42139a
